Number of Individual,Calendar Month,Latitude,Longitude
2,2019-FEB,37.487336,-121.923921
1,2019-FEB,37.487701,-121.924825
1,2019-FEB,37.487971,-121.918947
2,2019-FEB,37.487975,-121.927614
3,2019-FEB,37.488125,-121.927694
1,2019-FEB,37.488187,-121.919086
6,2019-FEB,37.488382,-121.928208
2,2019-FEB,37.488495,-121.928266
1,2019-FEB,37.488496,-121.920298
2,2019-FEB,37.48852,-121.927906
1,2019-FEB,37.488625,-121.925865
1,2019-FEB,37.488899,-121.926882
4,2019-FEB,37.489501,-121.925298
3,2019-FEB,37.489561,-121.925122
1,2019-FEB,37.489963,-121.923578
1,2019-FEB,37.49105,-121.922991
1,2019-FEB,37.49117,-122.277088
1,2019-FEB,37.491999,-121.925493
2,2019-FEB,37.492089,-121.924524
1,2019-FEB,37.492384,-121.924298
4,2019-FEB,37.492478,-121.923411
3,2019-FEB,37.49272,-121.923656
2,2019-FEB,37.493738,-121.927668
1,2019-FEB,37.494094,-121.932157
3,2019-FEB,37.49434,-121.915071
24,2019-FEB,37.494935,-121.926622
1,2019-FEB,37.495993,-121.928677
1,2019-FEB,37.496193,-121.934518
1,2019-FEB,37.496234,-121.934559
1,2019-FEB,37.49718,-121.916785
1,2019-FEB,37.499649,-121.921777
1,2019-FEB,37.499874,-121.90963
3,2019-FEB,37.500881,-121.917026
2,2019-FEB,37.501101,-121.930349
1,2019-FEB,37.501294,-121.911781
3,2019-FEB,37.504694,-121.910627
1,2019-FEB,37.506318,-121.910593
3,2019-FEB,37.506501,-121.932244
3,2019-FEB,37.506629,-121.931487
1,2019-FEB,37.506737,-121.92184
4,2019-FEB,37.507722,-121.923804
1,2019-FEB,37.508003,-121.929127
2,2019-FEB,37.508171,-121.973948
3,2019-FEB,37.508499,-121.919268
5,2019-FEB,37.508585,-121.913865
1,2019-FEB,37.508695,-121.947045
3,2019-FEB,37.508929,-121.918939
2,2019-FEB,37.509672,-121.932809
3,2019-FEB,37.509701,-121.935489
2,2019-FEB,37.509902,-121.963632
7,2019-FEB,37.510257,-121.963874
3,2019-FEB,37.510273,-121.962149
2,2019-FEB,37.51028,-121.962518
3,2019-FEB,37.510281,-121.962153
3,2019-FEB,37.510402,-121.907323
1,2019-FEB,37.510426,-121.961732
2,2019-FEB,37.510488,-121.936057
2,2019-FEB,37.510527,-121.918656
1,2019-FEB,37.510541,-121.963481
1,2019-FEB,37.510657,-121.961008
6,2019-FEB,37.510665,-121.969673
4,2019-FEB,37.510779,-121.960239
1,2019-FEB,37.510961,-121.920311
1,2019-FEB,37.510978,-121.932683
6,2019-FEB,37.511041,-121.959985
5,2019-FEB,37.511096,-121.968875
1,2019-FEB,37.511157,-121.96867
3,2019-FEB,37.511377,-121.960492
